Season,Year,City,Name,Sex,NOC,Discipline,Event,Medal
Summer,1900,Paris,SCHULTZ Ernst,Male,DEN,Athletics,400 metres - Men,Bronze
Summer,1900,Paris,LONG Maxey,Male,USA,Athletics,400 metres - Men,Gold
Summer,1900,Paris,HOLLAND Bill,Male,USA,Athletics,400 metres - Men,Silver
Summer,1900,Paris,ORTON George,Male,USA,Athletics,400 metres Hurdles - Men,Bronze
Summer,1900,Paris,TEWKSBURY Walter,Male,USA,Athletics,400 metres Hurdles - Men,Gold
Summer,1900,Paris,TAUZIN Henri,Male,FRA,Athletics,400 metres Hurdles - Men,Silver
Summer,1900,Paris,ROWLEY Stan,Male,AUS,Athletics,5000 metres Team - Men,Gold
Summer,1900,Paris,BENNETT Charles,Male,GBR,Athletics,5000 metres Team - Men,Gold
Summer,1900,Paris,RIMMER Jack,Male,GBR,Athletics,5000 metres Team - Men,Gold
Summer,1900,Paris,ROBINSON Sidney,Male,GBR,Athletics,5000 metres Team - Men,Gold
Summer,1900,Paris,TYSOE Alfred,Male,GBR,Athletics,5000 metres Team - Men,Gold
Summer,1900,Paris,CASTANET André,Male,FRA,Athletics,5000 metres Team - Men,Silver
Summer,1900,Paris,CHAMPOUDRY Albert,Male,FRA,Athletics,5000 metres Team - Men,Silver
Summer,1900,Paris,CHASTANIÉ Jean,Male,FRA,Athletics,5000 metres Team - Men,Silver
Summer,1900,Paris,DELOGE Henry,Male,FRA,Athletics,5000 metres Team - Men,Silver
Summer,1900,Paris,RAGUENEAU Gaston,Male,FRA,Athletics,5000 metres Team - Men,Silver
Summer,1900,Paris,ROWLEY Stan,Male,AUS,Athletics,60 metres - Men,Bronze
Summer,1900,Paris,KRAENZLEIN Al,Male,USA,Athletics,60 metres - Men,Gold
Summer,1900,Paris,TEWKSBURY Walter,Male,USA,Athletics,60 metres - Men,Silver
