NOC,Year,Efficiency
GUY,2007,0.32543465369907915
GUY,2008,0.32543465369907915
GUY,2009,0.32543465369907915
GUY,2010,0.32543465369907915
GUY,2011,0.32543465369907915
GUY,2012,0.32543465369907915
GUY,2013,0.32543465369907915
GUY,2014,0.32543465369907915
GUY,2015,0.32543465369907915
GUY,2016,0.32543465369907915
GUY,2017,0.32543465369907915
GUY,2018,0.32543465369907915
GUY,2019,0.32543465369907915
GUY,2020,0.32543465369907915
GUY,2021,0.32543465369907915
GUY,2022,0.32543465369907915
GUY,2023,0.32543465369907915
GUY,2024,0.32543465369907915
BLR,2005,1.9221209655551756
BLR,2006,1.6467801589171243
BLR,2007,1.3790396845985204
BLR,2008,1.1276885155854461
BLR,2009,0.9007731331973001
BLR,2010,0.7051740782688645
BLR,2011,0.5462601178811306
BLR,2012,0.42764423520744077
BLR,2013,0.35105686249441237
BLR,2014,0.3163417459113995
BLR,2015,0.3215696013844951
BLR,2016,0.36325533132609844
BLR,2017,0.4366569313094206
BLR,2018,0.5361289974110137
BLR,2019,0.6555013212368939
BLR,2020,0.788453474439226
BLR,2021,0.9288592707871135
BLR,2022,1.0710800290606641
BLR,2023,1.2101919493581
BLR,2024,1.3421398890131055
TUR,2005,0.988542404739766
TUR,2006,0.8420571717854983
TUR,2007,0.7023158267743961
TUR,2008,0.5738151888317189
TUR,2009,0.46051498378508793
TUR,2010,0.36563578249417983
TUR,2011,0.29150709297435284
TUR,2012,0.2394755930356638
TUR,2013,0.2098782889000974
TUR,2014,0.2020798916309774
TUR,2015,0.2145684831877972
TUR,2016,0.24509911286711183
TUR,2017,0.2908717278111821
TUR,2018,0.3487280499276526
TUR,2019,0.415351743564222
TUR,2020,0.48745737970007363
TUR,2021,0.561956052107206
TUR,2022,0.6360886915335797
TUR,2023,0.7075217526108755
TUR,2024,0.7744036092437594
UZB,2005,1.8367735081298702
UZB,2006,1.5436380927924351
UZB,2007,1.262612656637177
UZB,2008,1.0030655770816952
UZB,2009,0.773372786418379
UZB,2010,0.580473419640962
UZB,2011,0.4295219246892503
UZB,2012,0.323660948388516
UZB,2013,0.26392883904536424
UZB,2014,0.2493040649767546
UZB,2015,0.2768774425157754
UZB,2016,0.34213295363711227
UZB,2017,0.43931008174819075
UZB,2018,0.5618156782004884
UZB,2019,0.70265170418172
UZB,2020,0.8548267084726402
UZB,2021,1.0117231935616657
UZB,2022,1.1673994151867064
UZB,2023,1.3168118127941644
UZB,2024,1.455952289372132
PER,2005,1.6222440710042636
PER,2006,1.3984399346489806
PER,2007,1.1783442299995914
PER,2008,0.9688669774390717
PER,2009,0.7764199994205874
PER,2010,0.6065919585597386
PER,2011,0.4638789179310172
PER,2012,0.3514885389686193
PER,2013,0.27122967311419854
PER,2014,0.22349185320200826
PER,2015,0.20731179910298136
PER,2016,0.2205172583254611
PER,2017,0.2599329475902352
PER,2018,0.32162951915929083
PER,2019,0.4011946052546431
PER,2020,0.49400512470645497
PER,2021,0.5954819816035131
PER,2022,0.7013116838113729
PER,2023,0.8076237797169945
PER,2024,0.9111178238863977
NZL,2005,1.6370471652665204
NZL,2006,1.4121338094225102
NZL,2007,1.1908001442412006
NZL,2008,0.979988409935479
NZL,2009,0.7861471498175936
NZL,2010,0.6149045724170747
NZL,2011,0.47079724968895054
NZL,2012,0.35707238898135074
NZL,2013,0.27557556259501137
NZL,2014,0.22672852319409387
NZL,2015,0.2095943261564832
NZL,2016,0.2220201617568014
NZL,2017,0.2608427148258805
NZL,2018,0.32213699355740477
NZL,2019,0.4014876650310426
NZL,2020,0.49426203532709323
NZL,2021,0.595865733002487
NZL,2022,0.7019655356643568
NZL,2023,0.8086681413200121
NZL,2024,0.9126484985673096
LUX,2005,1.737762285817038
LUX,2006,1.5047688936782548
LUX,2007,1.2744173865539783
LUX,2008,1.0538847078855587
LUX,2009,0.8498868916641951
LUX,2010,0.6683402160243541
LUX,2011,0.5140763371927553
LUX,2012,0.3906305321224557
LUX,2013,0.30011586379314936
LUX,2014,0.24318878809745526
LUX,2015,0.2191041996787697
LUX,2016,0.22585091836187177
LUX,2017,0.2603528098868195
LUX,2018,0.31871661294476494
LUX,2019,0.3965053952312845
LUX,2020,0.48901643938355077
LUX,2021,0.5915441003529724
LUX,2022,0.699611431978957
LUX,2023,0.8091586801835446
LUX,2024,0.9166815530104415
